
108335	391825	340367	286457	661741																																																																			
219130	365285	364695																																																																					
422465	379019	98888																																																																					
352109	397889	386850	380489	287261																																																																			
281610	342706	111873	198029	366109	287261	76283	254489	258540	286457																																																														
383599	381992	89769	284905																																																																				
284251	780493	226774	140817	191515	327710																																																																		
16643	123462	119063	128827	188598	323836	660999	661002																																																																
181202	328595	276157	296188	8140	208299																																																																		
427230	372539	396879	391680	208660	105912	332555	227534	68048	188856	736830	736831	479020	103313	365797	97077	117900	384900	769581	1372184	226774																																																			
1117760	102601	222340	112167																																																																				
176484	245818	195946	272457	354111	103926	106685	260033	306104	397673	16643	193618	180958	226774	392017	154454	287261	111873	391857	393069	1400578																																																			
1145658	1590703	1588573	304902	616588	204756	354453	156523	129049	19494	72830	207762	17032																																																											
208299	147629	311368	48409	255229	396806	104076	286438																																																																
356984	376926	360031																																																																					
1651829	2253198	1622191	1621045	1621158	1622196	1622195	1622191	1945580	1628756	1629090	2625541	2625537	1623864	1622038	1621964	1624694	1626710	1626709	1626718																																																				
762640	1138	1329222	298112	8659																																																																			
379184	392028	391231	373389																																																																				
848856	393114	397759	135359																																																																				
397023	396275	2176822	277444																																																																				
1365	915008	395667	2353999	2355128	2353376	2332456	2363688	2350751	408600	38512	657803	920290	1072892	398496	399274	1324430																																																							
1605984	1101321	195946	1101337	1101327	383599	381992	89769	219130																																																															
71795	364846	100792	289088	2625629	204257	194170																																																																	
371198	30668	322367	272175	1190989	391857	393069																																																																	
334956	1114834	91849																																																																					
383599	381992	258569	324086	1456044																																																																			
405691	391079	380057	179949	1044876																																																																			
948360	360062	42416	324086																																																																				
1720533	272258	239436	230004	219130	1400574																																																																		
308245	137041	341789	316459																																																																				
145613	363243	365167	387191	1192416	1321	1101319																																																																	
1147851	61210	231434	76182	388082	388746	361415	379553	357344	396342	89769	391835	359287	160922	392028	108775	274852	286783																																																						
106685	260033	103926	205427																																																																				
257415	111873	287467	1101838	287261	1689273	398302																																																																	
148548	143230	398335	398325	36346	230013																																																																		
365028	387238	366339	223681																																																																				
81941	227150	287164	89769																																																																				
31378	108335	5697	2489041																																																																				
392017	391888	378837	1333672	1164788	276338	185422																																																																	
204257	193832	60315	679025																																																																				
335765	30440	230546	41100																																																																				
360218	137790	24294	131627	145989	251547	244708																																																																	
5735	350562	180023	32895	22234	321099	111873	499508	1101259	392000																																																														
207762	392705	46071	324086	475132	475125																																																																		
307102	1101337	387191	2150316	2620913	2620902	1102073																																																																	
1192448	184241	226774	185422	950952	193832																																																																		
231434	286783	274852	49524	170758	76182	264804	1456044	108775	380552	227318	408295	408451	308223	59538	348200	1101294	1101291	1101290	1101292	385901	207762	311912	19704	357643	375582	475110	660042	54430	395701	236272																																									
2625154	1019019	100382	154720	299576	817287	336712	1734057	82591	259577	1075851	365562	259577	343071	1080194	191091	291100	2137707	289491	51164	2626882	751202																																																		
356984	376926	360031																																																																					
254322	179564	254322	165051																																																																				
206570	265089	354517	136990	322374																																																																			
208299	147629	311368	48409	255229																																																																			
95075	328242	349267	225316	303243																																																																			
396806	396805	363644	2150800																																																																				
82695	49925	387491	365587																																																																				
356984	376926	360031																																																																					
205154	221912	379532	196285																																																																				
259556	172768	379019																																																																					
29598	1321	294908	383371	239574	239436	245818	195946	342032																																																															
1423411	1423408	356430	392723	488554	488542																																																																		
7177	306809	245715	42210	1138																																																																			
1102104	149408	72860	195946	373288	780493	391857																																																																	
1058452	362469	17057	393663	399874	2184187																																																																		
52017	372539	305367	110313	156385																																																																			
70172																																																																							
208299	147629	311368	48409	255229																																																																			
1145766	17057	1145765	2586530	395664																																																																			
1406725	4847	476883	350155	391890	741988																																																																		
337003	394165	309096	383371	176484	1190168	71795	41100	204756	96509	1588730	239436	151579	285408	34182	306176	180023	32895	191515	327710	156753																																																			
42416	365028	387238	366339																																																																				
96509	204756	41100	2150795	709705	323532																																																																		
49473	31378	128827	148141																																																																				
2625639	2625640	2625638	1621140	1628548	1622189	1622221	2136618	2253383	2624695	1623758	1628622	1622191	1628109	2253361	2253119																																																								
322161	70619	71141	191076																																																																				
155925	81066	1192657	391857																																																																				
87798	475044	84012	736830	1190986	176484	780493	661741	89769																																																															
2150795	59313	48365	355027	336788																																																																			
391888	193832	206395	392019																																																																				
193618	154454	17653	100598																																																																				
294886	257518	164588	311561																																																																				
249966	70012	396795	363644																																																																				
1101314	1117760	251547	272457	372898	708440																																																																		
780187	2166906	360342	358857																																																																				
17032	68048	374101																																																																					
383599	381992	366647	5307	91849	113039	376286																																																																	
103926	106685	260033																																																																					
352293	386536	358424	375744																																																																				
382158	388198	286783	34054																																																																				
360056	367941	198029	17112																																																																				
190046	1720591	1400584	1400569	391857																																																																			
219501	208974	168753	1399145	1327769																																																																			
219501	317225	208974	392501	168753	1399145	1327769																																																																	
365028	387238	366339																																																																					
356984	376926	360031																																																																					
396794	944530	944526	944527																																																																				
2620261																																																																							
